t,Forecast,Lo 80,Hi 80,Lo 95,Hi 95,,march_dates,transaction_count,,t,Forecast,Lo 80,Hi 80,Lo 95,Hi 95,,march_dates,transaction_count
699,17.70,17.63,17.78,17.59,17.82,,2015-03-01,48752739,,699,17.70,17.63,17.78,17.59,17.82,,2015-03-01,48752739
700,17.66,17.58,17.75,17.53,17.79,,2015-03-02,46908092,,700,17.66,17.58,17.75,17.53,17.79,,2015-03-02,46908092
701,17.74,17.66,17.83,17.61,17.88,,2015-03-03,50811312,,701,17.74,17.66,17.83,17.61,17.88,,2015-03-03,50811312
702,17.76,17.67,17.85,17.62,17.89,,2015-03-04,51554365,,702,17.76,17.67,17.85,17.62,17.89,,2015-03-04,51554365
703,17.74,17.65,17.83,17.60,17.87,,2015-03-05,50408377,,703,17.74,17.65,17.83,17.60,17.87,,2015-03-05,50408377
704,17.78,17.69,17.87,17.64,17.92,,2015-03-06,52808374,,704,17.78,17.69,17.87,17.64,17.92,,2015-03-06,52808374
705,17.76,17.67,17.85,17.62,17.90,,2015-03-07,51688047,,705,17.76,17.67,17.85,17.62,17.90,,2015-03-07,51688047
706,17.87,17.78,17.96,17.73,18.01,,2015-03-08,57742391,,706,17.87,17.78,17.96,17.73,18.01,,2015-03-08,57742391
707,17.85,17.76,17.94,17.71,17.99,,2015-03-09,56451900,,707,17.85,17.76,17.94,17.71,17.99,,2015-03-09,56451900
708,17.71,17.62,17.80,17.57,17.85,,2015-03-10,49137468,,708,17.71,17.62,17.80,17.57,17.85,,2015-03-10,49137468
709,17.80,17.70,17.89,17.65,17.94,,2015-03-11,53537048,,709,17.80,17.70,17.89,17.65,17.94,,2015-03-11,53537048
710,17.77,17.68,17.87,17.63,17.92,,2015-03-12,52391271,,710,17.77,17.68,17.87,17.63,17.92,,2015-03-12,52391271
711,17.72,17.62,17.82,17.57,17.87,,2015-03-13,49715902,,711,17.72,17.62,17.82,17.57,17.87,,2015-03-13,49715902
712,17.79,17.69,17.89,17.64,17.94,,2015-03-14,53141755,,712,17.79,17.69,17.89,17.64,17.94,,2015-03-14,53141755
713,17.70,17.60,17.80,17.55,17.85,,2015-03-15,48785146,,713,17.70,17.60,17.80,17.55,17.85,,2015-03-15,48785146
714,17.75,17.65,17.86,17.60,17.91,,2015-03-16,51353173,,714,17.75,17.65,17.86,17.60,17.91,,2015-03-16,51353173
715,17.71,17.61,17.81,17.56,17.87,,2015-03-17,49213658,,,,,,,,,,
716,17.75,17.64,17.85,17.59,17.90,,2015-03-18,50904072,,,,,,,,,,
717,17.82,17.72,17.92,17.66,17.98,,2015-03-19,54861214,,,,,,,,,,
718,17.69,17.59,17.80,17.54,17.85,,2015-03-20,48335033,,t,Forecast,Lo 80,Hi 80,Lo 95,Hi 95,,march_dates,transaction_count
719,17.78,17.68,17.89,17.63,17.94,,2015-03-21,52857320,,715,17.71,17.61,17.81,17.56,17.87,,2015-03-17,49213658
720,17.83,17.72,17.93,17.67,17.98,,2015-03-22,55128337,,716,17.75,17.64,17.85,17.59,17.90,,2015-03-18,50904072
721,17.78,17.67,17.88,17.62,17.94,,2015-03-23,52662197,,717,17.82,17.72,17.92,17.66,17.98,,2015-03-19,54861214
722,17.79,17.68,17.90,17.63,17.95,,2015-03-24,53203991,,718,17.69,17.59,17.80,17.54,17.85,,2015-03-20,48335033
723,17.73,17.62,17.83,17.56,17.89,,2015-03-25,49984087,,719,17.78,17.68,17.89,17.63,17.94,,2015-03-21,52857320
724,17.72,17.61,17.83,17.56,17.88,,2015-03-26,49674495,,720,17.83,17.72,17.93,17.67,17.98,,2015-03-22,55128337
725,17.74,17.63,17.85,17.57,17.91,,2015-03-27,50619107,,721,17.78,17.67,17.88,17.62,17.94,,2015-03-23,52662197
726,17.70,17.59,17.81,17.54,17.87,,2015-03-28,48692084,,722,17.79,17.68,17.90,17.63,17.95,,2015-03-24,53203991
727,17.78,17.67,17.89,17.62,17.95,,2015-03-29,52903100,,723,17.73,17.62,17.83,17.56,17.89,,2015-03-25,49984087
728,17.65,17.54,17.76,17.48,17.82,,2015-03-30,46163523,,724,17.72,17.61,17.83,17.56,17.88,,2015-03-26,49674495
729,17.68,17.56,17.80,17.50,17.86,,2015-03-31,47674723,,725,17.74,17.63,17.85,17.57,17.91,,2015-03-27,50619107
,,,,,,,,,,726,17.70,17.59,17.81,17.54,17.87,,2015-03-28,48692084
,,,,,,,,,,727,17.78,17.67,17.89,17.62,17.95,,2015-03-29,52903100
,,,,,,,,,,728,17.65,17.54,17.76,17.48,17.82,,2015-03-30,46163523
,,,,,,,,,,729,17.68,17.56,17.80,17.50,17.86,,2015-03-31,47674723
